iter	Passed	Remaining
0	16	8024
1	44	10977
2	56	9437
3	64	7951
4	75	7449
5	81	6680
6	94	6627
7	119	7377
8	140	7674
9	153	7542
10	158	7065
11	168	6855
12	177	6637
13	192	6692
14	205	6638
15	220	6666
16	226	6421
17	235	6299
18	241	6105
19	255	6135
20	265	6064
21	288	6272
22	298	6189
23	306	6079
24	318	6046
25	323	5897
26	333	5845
27	339	5720
28	356	5782
29	365	5727
30	374	5659
31	383	5612
32	396	5607
33	400	5487
34	413	5493
35	419	5407
36	443	5552
37	449	5464
38	462	5463
39	483	5556
40	495	5544
41	508	5546
42	516	5488
43	526	5457
44	531	5376
45	542	5351
46	548	5286
47	558	5255
48	563	5188
49	574	5167
50	577	5086
51	580	5005
52	588	4962
53	593	4905
54	601	4869
55	608	4823
56	614	4772
57	624	4760
58	629	4703
59	638	4684
60	643	4633
61	652	4609
62	658	4565
63	662	4514
64	673	4504
65	677	4458
66	688	4452
67	693	4406
68	704	4400
69	709	4360
70	719	4349
71	727	4323
72	739	4323
73	742	4275
74	753	4267
75	758	4228
76	768	4222
77	774	4187
78	783	4175
79	790	4150
80	800	4142
81	806	4110
82	818	4112
83	823	4077
84	834	4076
85	839	4039
86	850	4037
87	854	4002
88	857	3958
89	870	3963
90	873	3927
91	886	3931
92	890	3895
93	903	3902
94	907	3868
95	920	3872
96	923	3838
97	937	3843
98	946	3834
99	953	3814
100	962	3804
101	969	3782
102	979	3773
103	985	3752
104	989	3722
105	996	3702
106	1006	3696
107	1012	3675
108	1022	3667
109	1028	3648
110	1038	3638
111	1044	3619
112	1048	3590
113	1059	3587
114	1064	3563
115	1075	3560
116	1080	3535
117	1090	3530
118	1095	3506
119	1104	3498
120	1111	3481
121	1120	3473
122	1128	3459
123	1138	3452
124	1144	3434
125	1154	3428
126	1162	3415
127	1175	3415
128	1184	3407
129	1192	3394
130	1204	3392
131	1212	3378
132	1221	3370
133	1235	3373
134	1242	3358
135	1251	3349
136	1259	3338
137	1272	3337
138	1282	3330
139	1290	3319
140	1301	3314
141	1308	3298
142	1321	3298
143	1333	3296
144	1339	3280
145	1347	3267
146	1354	3252
147	1365	3247
148	1370	3227
149	1381	3224
150	1386	3205
151	1398	3201
152	1410	3200
153	1419	3188
154	1434	3192
155	1443	3183
156	1451	3171
157	1460	3161
158	1468	3149
159	1485	3155
160	1496	3150
161	1501	3133
162	1512	3127
163	1518	3110
164	1531	3108
165	1535	3088
166	1547	3085
167	1558	3080
168	1564	3064
169	1576	3060
170	1584	3048
171	1596	3043
172	1610	3044
173	1626	3047
174	1642	3049
175	1656	3049
176	1662	3033
177	1671	3023
178	1684	3020
179	1694	3012
180	1703	3002
181	1714	2995
182	1725	2988
183	1734	2979
184	1748	2976
185	1761	2974
186	1775	2971
187	1780	2955
188	1784	2936
189	1793	2927
190	1797	2908
191	1805	2895
192	1809	2878
193	1813	2859
194	1817	2842
195	1824	2829
196	1828	2812
197	1832	2795
198	1839	2783
199	1843	2765
200	1847	2747
201	1852	2733
202	1858	2719
203	1862	2702
204	1865	2685
205	1872	2672
206	1875	2655
207	1879	2638
208	1885	2624
209	1889	2608
210	1893	2592
211	1896	2576
212	1903	2564
213	1906	2548
214	1910	2531
215	1913	2515
216	1919	2503
217	1923	2488
218	1927	2472
219	1932	2459
220	1936	2444
221	1939	2429
222	1943	2413
223	1946	2398
224	1955	2389
225	1959	2375
226	1965	2363
227	1969	2350
228	1973	2335
229	1977	2321
230	1983	2310
231	1987	2295
232	1990	2280
233	1993	2266
234	2000	2256
235	2004	2241
236	2007	2227
237	2010	2213
238	2016	2202
239	2020	2188
240	2023	2175
241	2030	2164
242	2033	2150
243	2037	2137
244	2040	2123
245	2048	2114
246	2053	2103
247	2057	2090
248	2063	2079
249	2066	2066
250	2070	2053
251	2073	2040
252	2079	2030
253	2083	2017
254	2086	2004
255	2089	1991
256	2095	1981
257	2098	1968
258	2101	1955
259	2105	1943
260	2111	1933
261	2115	1921
262	2118	1909
263	2122	1897
264	2127	1887
265	2131	1874
266	2134	1862
267	2138	1851
268	2146	1843
269	2151	1832
270	2154	1820
271	2160	1811
272	2163	1799
273	2167	1787
274	2170	1776
275	2177	1767
276	2180	1755
277	2184	1744
278	2187	1732
279	2193	1723
280	2196	1712
281	2199	1700
282	2203	1689
283	2209	1680
284	2212	1669
285	2216	1658
286	2219	1647
287	2225	1638
288	2229	1627
289	2233	1617
290	2236	1606
291	2246	1600
292	2250	1589
293	2256	1580
294	2259	1570
295	2263	1559
296	2266	1549
297	2272	1540
298	2280	1532
299	2283	1522
300	2297	1518
301	2300	1508
302	2314	1505
303	2318	1494
304	2335	1493
305	2341	1484
306	2357	1482
307	2372	1478
308	2386	1475
309	2400	1471
310	2407	1462
311	2422	1459
312	2436	1455
313	2450	1451
314	2460	1445
315	2466	1436
316	2470	1426
317	2476	1417
318	2481	1407
319	2484	1397
320	2488	1387
321	2494	1379
322	2498	1369
323	2501	1359
324	2505	1349
325	2511	1340
326	2515	1330
327	2518	1320
328	2521	1310
329	2527	1302
330	2533	1293
331	2538	1284
332	2544	1275
333	2548	1266
334	2551	1256
335	2557	1248
336	2561	1238
337	2565	1229
338	2569	1220
339	2575	1211
340	2578	1202
341	2582	1193
342	2585	1183
343	2591	1175
344	2595	1165
345	2598	1156
346	2601	1147
347	2607	1138
348	2610	1129
349	2614	1120
350	2617	1111
351	2623	1103
352	2629	1094
353	2633	1086
354	2639	1078
355	2644	1069
356	2647	1060
357	2650	1051
358	2658	1044
359	2662	1035
360	2665	1026
361	2672	1018
362	2675	1009
363	2678	1000
364	2682	992
365	2688	984
366	2691	975
367	2694	966
368	2698	957
369	2704	950
370	2707	941
371	2710	932
372	2714	924
373	2719	916
374	2723	907
375	2726	899
376	2730	890
377	2738	883
378	2742	875
379	2746	867
380	2751	859
381	2755	851
382	2758	842
383	2761	834
384	2764	825
385	2770	818
386	2774	810
387	2777	801
388	2781	793
389	2785	785
390	2788	777
391	2792	769
392	2795	761
393	2801	753
394	2804	745
395	2807	737
396	2810	729
397	2816	721
398	2820	713
399	2823	705
400	2827	697
401	2837	691
402	2840	683
403	2844	675
404	2848	668
405	2852	660
406	2855	652
407	2861	645
408	2866	637
409	2870	630
410	2873	622
411	2879	615
412	2883	607
413	2886	599
414	2890	591
415	2896	584
416	2899	577
417	2903	569
418	2907	562
419	2910	554
420	2914	546
421	2918	539
422	2922	532
423	2930	525
424	2933	517
425	2936	510
426	2944	503
427	2947	495
428	2950	488
429	2954	480
430	2958	473
431	2962	466
432	2965	458
433	2971	451
434	2974	444
435	2977	437
436	2981	429
437	2986	422
438	2990	415
439	2994	408
440	2997	401
441	3003	394
442	3006	386
443	3009	379
444	3013	372
445	3020	365
446	3025	358
447	3029	351
448	3032	344
449	3038	337
450	3042	330
451	3045	323
452	3048	316
453	3054	309
454	3058	302
455	3061	295
456	3064	288
457	3069	281
458	3072	274
459	3076	267
460	3081	260
461	3085	253
462	3088	246
463	3092	239
464	3095	232
465	3102	226
466	3105	219
467	3109	212
468	3116	205
469	3121	199
470	3124	192
471	3129	185
472	3133	178
473	3137	172
474	3140	165
475	3144	158
476	3150	151
477	3153	145
478	3157	138
479	3160	131
480	3164	125
481	3168	118
482	3171	111
483	3175	104
484	3179	98
485	3182	91
486	3185	85
487	3189	78
488	3195	71
489	3198	65
490	3201	58
491	3205	52
492	3210	45
493	3213	39
494	3216	32
495	3222	25
496	3225	19
497	3229	12
498	3232	6
499	3237	0
